W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time
win,Bryan Barberena  Robbie Lawler,0  0,147  81,0  0,0  0,Welterweight,KO/TKO  Punches,2,4:47
nc  nc,Pedro Munhoz  Sean O'Malley,0  0,26  25,0  0,0  0,Bantamweight,CNC,2,3:09
win,Jalin Turner  Brad Riddell,0  0,3  2,0  0,1  0,Lightweight,SUB  Guillotine Choke,1,0:45
win,Jim Miller  Donald Cerrone,0  0,24  21,1  0,1  0,Welterweight,SUB  Guillotine Choke,2,1:32
win,Ian Garry  Gabe Green,1  0,116  90,1  1,0  0,Welterweight,U-DEC,3,5:00
win,Dricus Du Plessis  Brad Tavares,0  0,113  82,0  0,0  0,Middleweight,U-DEC,3,5:00
win,Andre Muniz  Uriah Hall,0  0,17  6,4  0,0  0,Middleweight,U-DEC,3,5:00
win,Maycee Barber  Jessica Eye,0  0,63  35,0  1,0  0,Women's Flyweight,U-DEC,3,5:00
win,Julija Stoliarenko  Jessica-Rose Clark,0  0,6  9,1  0,1  0,Women's Bantamweight,SUB  Armbar,1,0:42
win,Mateusz Gamrot  Arman Tsarukyan,0  1,81  95,6  1,0  0,Lightweight,U-DEC,5,5:00
win,Shavkat Rakhmonov  Neil Magny,0  0,19  11,2  0,1  0,Welterweight,SUB  Guillotine Choke,2,4:58
win,Josh Parisian  Alan Baudot,0  1,42  49,3  0,0  0,Heavyweight,KO/TKO  Punches,2,3:04
win,Thiago Moises  Christos Giagos,0  0,3  2,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,3:05
win,Umar Nurmagomedov  Nate Maness,0  0,74  2,3  0,0  0,Bantamweight,U-DEC,3,5:00
win,Chris Curtis  Rodolfo Vieira,0  0,109  86,0  0,0  0,Middleweight,U-DEC,3,5:00
win,Carlos Ulberg  Tafon Nchukwi,1  0,15  3,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,1:15
win,Shayilan Nuerdanbieke  TJ Brown,1  0,47  42,3  1,0  4,Featherweight,U-DEC,3,5:00
win,Sergey Morozov  Raulian Paiva,0  0,68  63,2  1,0  0,Bantamweight,U-DEC,3,5:00
win,Cody Durden  JP Buys,1  0,23  7,0  0,0  0,Flyweight,KO/TKO  Punch,1,1:08
win,Mario Bautista  Brian Kelleher,0  0,6  2,2  0,1  0,Bantamweight,SUB  Rear Naked Choke,1,2:27
win,Vanessa Demopoulos  Jinh Yu Frey,0  0,66  62,1  0,0  0,Women's Strawweight,S-DEC,3,5:00
win,Josh Emmett  Calvin Kattar,0  0,107  130,0  0,0  0,Featherweight,S-DEC,5,5:00
win,Kevin Holland  Tim Means,0  0,36  21,0  2,1  0,Welterweight,SUB  D'Arce Choke,2,1:28
win,Joaquin Buckley  Albert Duraev,2  0,27  10,0  2,0  0,Middleweight,KO/TKO,2,5:00
win,Damir Ismagulov  Guram Kutateladze,0  0,79  78,0  1,0  0,Lightweight,S-DEC,3,5:00
win,Gregory Rodrigues  Julian Marquez,3  0,49  13,0  0,0  0,Middleweight,KO/TKO  Punch,1,3:18
win,Adrian Yanez  Tony Kelley,1  0,35  20,0  0,0  0,Bantamweight,KO/TKO  Punches,1,3:49
win,Natalia Silva  Jasmine Jasudavicius,0  0,96  31,2  0,0  0,Women's Flyweight,U-DEC,3,5:00
win,Jeremiah Wells  Court McGee,1  0,7  3,0  0,0  0,Welterweight,KO/TKO  Punch,1,1:34
win,Ricardo Ramos  Danny Chavez,1  0,4  3,0  0,0  0,Featherweight,KO/TKO  Spinning Back Elbow,1,1:12
win,Maria Oliveira  Gloria de Paula,0  0,96  105,2  2,0  0,Women's Strawweight,S-DEC,3,5:00
win,Cody Stamann  Eddie Wineland,1  0,27  3,0  0,0  0,Bantamweight,KO/TKO  Punches,1,0:59
win,Phil Hawes  Deron Winn,1  0,118  32,1  0,0  0,Middleweight,KO/TKO  Elbows,2,4:25
win,Roman Dolidze  Kyle Daukaus,2  0,8  4,0  0,0  0,Middleweight,KO/TKO  Knee,1,1:13
win,Jiri Prochazka  Glover Teixeira,0  0,120  111,0  5,1  1,Light Heavyweight,SUB  Rear Naked Choke,5,4:32
win,Valentina Shevchenko  Taila Santos,0  0,77  55,3  3,1  3,Women's Flyweight,S-DEC,5,5:00
win,Zhang Weili  Joanna Jedrzejczyk,1  0,69  43,3  0,0  0,Women's Strawweight,KO/TKO  Spinning Back Fist,2,2:28
win,Jake Matthews  Andre Fialho,1  0,47  18,0  0,0  0,Welterweight,KO/TKO  Punch,2,2:24
win,Jack Della Maddalena  Ramazan Emeev,1  0,18  7,0  1,0  1,Welterweight,KO/TKO  Punch,1,2:32
win,Josh Culibao  SeungWoo Choi,2  0,51  46,0  1,0  0,Featherweight,S-DEC,3,5:00
win,Maheshate  Steve Garcia,2  0,7  7,0  0,0  0,Lightweight,KO/TKO  Punch,1,1:14
win,Brendan Allen  Jacob Malkoun,0  0,45  33,2  7,0  0,Middleweight,U-DEC,3,5:00
win,Kyung Ho Kang  Batgerel Danaa,0  0,100  109,0  0,0  0,Bantamweight,U-DEC,3,5:00
win,Silvana Gomez Juarez  Liang Na,1  0,8  4,0  0,0  0,Women's Strawweight,KO/TKO  Punches,1,1:22
win,Joselyne Edwards  Ramona Pascual,0  0,164  63,0  1,0  0,Women's Featherweight,U-DEC,3,5:00
win,Alexander Volkov  Jairzinho Rozenstruik,0  0,21  6,0  0,0  0,Heavyweight,KO/TKO  Punches,1,2:12
win,Movsar Evloev  Dan Ige,0  0,68  42,9  0,0  0,Featherweight,U-DEC,3,5:00
win,Lucas Almeida  Michael Trizano,2  1,75  31,0  0,0  0,Featherweight,KO/TKO  Punches,3,0:55
win,Karine Silva  Poliana Botelho,0  0,17  19,1  0,1  0,Women's Flyweight,SUB  D'Arce Choke,1,4:55
win,Ode Osbourne  Zarrukh Adashev,1  0,7  7,0  0,0  0,Flyweight,KO/TKO  Punch,1,1:01
win,Alonzo Menifield  Askar Mozharov,0  0,19  2,2  0,0  0,Light Heavyweight,KO/TKO  Elbows,1,4:40
win,Karolina Kowalkiewicz  Felice Herrig,0  0,82  55,0  0,2  0,Women's Strawweight,SUB  Rear Naked Choke,2,4:01
win,Joe Solecki  Alex Da Silva,0  1,33  35,1  0,3  0,Lightweight,M-DEC,3,5:00
win,Damon Jackson  Dan Argueta,0  0,32  27,2  1,1  0,Featherweight,U-DEC,3,5:00
win,Benoit Saint Denis  Niklas Stolze,0  0,8  11,3  0,2  1,Lightweight,SUB  Rear Naked Choke,2,1:32
win,Tony Gravely  Johnny Munoz,1  0,5  2,0  0,0  0,Bantamweight,KO/TKO  Punch,1,1:08
win,Jeff Molina  Zhalgas Zhumagulov,0  0,56  37,0  2,0  0,Flyweight,S-DEC,3,5:00
